episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7495,0.0,-10.5,6.0,0.999,0.995,4,5,5.12548828125e-05,0.0,-0.3
2,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7495,0.0,-10.5,6.0,0.998001,0.990025,8,10,0.000102509765625,0.0,-0.3
3,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1996666666666667,0.0,-10.6,7.0,0.997002999,0.985074875,14,18,0.00015522949218749999,0.0,-0.3
4,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.078818,0.0,-10.55,6.5,0.996005996001,0.9801495006250001,16,22,0.000205981884765625,0.0,-0.3
5,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1989343333333333,0.0,-10.6,7.0,0.995009990004999,0.9752487531218751,19,27,0.00025866942871093746,0.0,-0.3
6,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.575,0.0,-10.549999999999999,6.5,0.994014980014994,0.9703725093562657,21,31,0.0003089623974609375,0.0,-0.3
7,q_learning,epsilon_greedy,none,6,0,-12.0,-12.0,21,collision,0.5686165038571429,0.0,-10.757142857142856,8.571428571428571,0.993020965034979,0.9655206468094844,28,41,0.00036726780068847657,0.0,-0.3
8,q_learning,epsilon_greedy,none,6,1,-2.5999999999999925,-2.5999999999999925,28,collision,0.8049115671785715,0.125,-9.7375,11.0,0.9920279440699441,0.960693043575437,36,54,0.00047633774151367193,0.29708999999999997,-0.3
9,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.509724283367143,0.1111111111111111,-9.833333333333334,10.555555555555555,0.9910359161258742,0.9558895783575597,38,57,0.0005279396457303222,0.29708999999999997,-0.3
10,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0794,0.1,-9.89,10.0,0.9900448802097482,0.9511101304657719,41,61,0.0005787062472928222,0.29708999999999997,-0.3
11,q_learning,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.397903,0.09090909090909091,-9.91818181818182,9.363636363636363,0.9890548353295385,0.946354579813443,41,62,0.0006284802170193848,0.29708999999999997,-0.3
12,q_learning,epsilon_greedy,none,6,0,-13.100000000000001,-13.100000000000001,32,collision,0.407927321875,0.08333333333333333,-10.183333333333335,11.25,0.988065780494209,0.9416228069143757,51,80,0.0006922188610623535,0.29708999999999997,-0.3
13,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.5115445757142858,0.07692307692307693,-10.215384615384616,10.923076923076923,0.9870777147137147,0.9369146928798039,52,82,0.0007438829823025878,0.29708999999999997,-0.3
14,q_learning,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.33477827545875,0.07142857142857142,-10.25,10.714285714285714,0.986090636999001,0.9322301194154049,54,86,0.0007960227586876952,0.29708999999999997,-0.3
15,q_learning,epsilon_greedy,none,6,0,-11.6,-11.6,17,collision,0.6812274294117647,0.06666666666666667,-10.34,11.133333333333333,0.9851045463620021,0.9275689688183278,55,96,0.000852569957418164,0.29708999999999997,-0.3
16,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1613689658252668,0.0625,-10.368749999999999,11.0,0.98411944181564,0.9229311239742362,57,98,0.0009036066795491572,0.29708999999999997,-0.591
17,q_learning,epsilon_greedy,none,6,1,-0.1999999999999993,-0.1999999999999993,4,collision,4.9706133999999995,0.11764705882352941,-9.770588235294115,10.588235294117647,0.9831353223738244,0.918316468354365,57,99,0.0010006889725179071,0.299919,-0.591
18,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.57195755,0.1111111111111111,-9.799999999999999,10.222222222222221,0.9821521870514506,0.9137248860125932,57,100,0.0010509225184163447,0.299919,-0.591
19,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.69750955,0.10526315789473684,-9.836842105263157,10.0,0.9811700348643991,0.9091562615825302,57,102,0.001100654243514001,0.299919,-0.591
20,q_learning,epsilon_greedy,none,6,0,-12.3,-12.3,24,collision,0.5082711929143964,0.1,-9.959999999999999,10.7,0.9801888648295347,0.9046104802746175,58,106,0.0011602172739336566,0.299919,-0.591
21,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0746545733003168,0.09523809523809523,-9.980952380952381,10.428571428571429,0.9792086759647052,0.9000874278732445,59,108,0.0012108680203521216,0.299919,-0.591
22,q_learning,epsilon_greedy,none,6,1,-1.1999999999999975,-1.1999999999999975,14,collision,1.5082270562529294,0.13636363636363635,-9.58181818181818,10.590909090909092,0.9782294672887405,0.8955869907338783,62,113,0.0013139694792756616,0.30802143,-0.591
23,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0776901422,0.13043478260869565,-9.617391304347825,10.347826086956522,0.9772512378214517,0.8911090557802088,65,117,0.001364694336262966,0.30802143,-0.591
24,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,1.96051726,0.125,-9.649999999999999,10.125,0.9762739865836303,0.8866535105013078,66,119,0.001412558527180935,0.30802143,-0.87327
25,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.4973190991362864,0.12,-9.675999999999998,9.88,0.9752977125970467,0.8822202429488013,66,119,0.001461334290835941,0.30802143,-0.87327
26,q_learning,epsilon_greedy,none,6,1,-0.3999999999999986,-0.3999999999999986,6,collision,3.396500575743652,0.15384615384615385,-9.319230769230769,9.73076923076923,0.9743224148844496,0.8778091417340573,67,120,0.0015579721006721808,0.30802143,-0.87327
27,q_learning,epsilon_greedy,none,6,1,-0.7999999999999972,-0.7999999999999972,10,collision,2.083829745143771,0.18518518518518517,-9.003703703703703,9.74074074074074,0.9733480924695651,0.8734200960253871,69,124,0.001657821848965942,0.6068786000999999,-0.87327
28,q_learning,epsilon_greedy,none,6,0,-11.4,-11.4,15,collision,0.756148556816,0.17857142857142858,-9.089285714285714,9.928571428571429,0.9723747443770956,0.8690529955452602,71,127,0.0017132038233421134,0.6068786000999999,-0.87327
29,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.5671231708925,0.1724137931034483,-9.131034482758619,9.724137931034482,0.9714023696327185,0.8647077305675338,72,128,0.0017633429477736079,0.6068786000999999,-0.87327
30,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.57425,0.16666666666666666,-9.169999999999998,9.533333333333333,0.9704309672630859,0.8603841919146962,73,131,0.0018136212680861076,0.6068786000999999,-0.87327
31,q_learning,epsilon_greedy,none,6,1,-0.5999999999999979,-0.5999999999999979,8,collision,2.567625066602084,0.1935483870967742,-8.893548387096773,9.483870967741936,0.9694605362958227,0.8560822709551227,75,135,0.0019139191222502516,0.6068786000999999,-0.87327
32,q_learning,epsilon_greedy,none,6,0,-10.9,-10.9,10,collision,1.1359365322436632,0.1875,-8.956249999999999,9.5,0.9684910757595269,0.851801859600347,78,140,0.001962039549495153,0.6068786000999999,-0.87327
33,q_learning,epsilon_greedy,none,6,1,-0.1999999999999993,-0.1999999999999993,4,collision,5.046994075,0.21212121212121213,-8.69090909090909,9.333333333333334,0.9675225846837673,0.8475428503023453,79,142,0.0020606136525224967,0.6068786000999999,-0.87327
34,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7411287779894116,0.20588235294117646,-8.744117647058822,9.235294117647058,0.9665550620990835,0.8433051360508336,79,143,0.002111623284690155,0.6068786000999999,-0.87327
35,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.59458482225,0.2,-8.788571428571428,9.085714285714285,0.9655885070369844,0.8390886103705794,80,145,0.0021605258272243346,0.6068786000999999,-0.87327
36,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.6973486,0.19444444444444445,-8.83611111111111,9.0,0.9646229185299474,0.8348931673187264,80,145,0.0022102528369899598,0.6068786000999999,-0.87327
37,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1400583230766779,0.1891891891891892,-8.889189189189189,9.0,0.9636582956114175,0.8307187014821328,80,147,0.0022586042350155942,0.6068786000999999,-0.87327
38,q_learning,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.2281712667606794,0.18421052631578946,-8.923684210526314,8.842105263157896,0.9626946373158061,0.8265651079747222,80,147,0.002304224562455623,0.6068786000999999,-0.87327
